numero,codigo,descricao,un,saldo,preco,valor_total,data_entrega,razao,cod_terceiro
399240,5525,CHAPEU INJ TRAPEZIO PRETO 8380/8381 IOWA,CT,200,"226,87","453,74",2025-09-21 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
403646,578,QUADRO INJ P/ LANTER QUADRA BR,CT,100,"447,78","447,78",2025-09-15 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
405212,10825,PORTA MOLDE 35X45 P20-C3-M3A P C=302595,UN,1,"18981,67","18981,67",2025-09-22 00:00:00.000,POLIMOLD INDUSTRIAL S/A,4058
405212,10824,PORTA MOLDE 25X35 P20-C2-M3A P C-=302594,UN,1,"8071,44","8071,44",2025-10-20 00:00:00.000,POLIMOLD INDUSTRIAL S/A,4058
406190,10672,LENTE INJ ARANDELA 15CM CRISTAL TRIANG,CT,200,"297,86","595,72",2025-11-01 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
407646,10877,"MOLA ARAME INOX 0,9MM P/ LAMP G9",UN,1000,"0,47",470,2025-08-01 00:00:00.000,CONNECT MOLAS SOLUCOES TRANSFOR METAL,6023
407646,10901,"MOLA FITA 0,70X16MM P/ LAMP MR11 ZB",UN,1000,"1,02",1020,2025-08-01 00:00:00.000,CONNECT MOLAS SOLUCOES TRANSFOR METAL,6023
407646,10908,"MOLA FITA 0,70X16MM P/ LAMP MR16 ZB",UN,1000,"1,45",1450,2025-08-01 00:00:00.000,CONNECT MOLAS SOLUCOES TRANSFOR METAL,6023
407646,10888,"MOLA FITA 0,70X16MM P/ GESSO ZB",UN,1000,"1,45",1450,2025-08-01 00:00:00.000,CONNECT MOLAS SOLUCOES TRANSFOR METAL,6023
407646,10924,"MOLA FITA 0,70X16MM P/ LAMP PAR20 ZB",UN,1000,"1,62",1620,2025-08-01 00:00:00.000,CONNECT MOLAS SOLUCOES TRANSFOR METAL,6023
407894,561,NIPEL INJ 35MM PR,CT,2000,"15,97","319,4",2025-09-19 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409555,5554,LENTE INJ REDONDA  MINESSOTA,CT,300,"297,63","892,89",2025-10-03 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,589,QUADRO INJ P/LANTER SEX PR,CT,400,"276,4","1105,6",2025-09-19 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,589,QUADRO INJ P/LANTER SEX PR,CT,400,"276,4","1105,6",2025-10-06 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,2277,GRADE INJ ARAN PR LINHA ARIZONA REF:8294,CT,100,"192,31","192,31",2025-11-01 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,4582,QUADRO INJ PRETO 8340/8341 LIN. VIRGINIA,CT,200,"178,09","356,18",2025-09-22 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,4582,QUADRO INJ PRETO 8340/8341 LIN. VIRGINIA,CT,200,"178,09","356,18",2025-10-13 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,2280,GRADE INJ ARAN PR LINHA ARIZONA REF:8297,CT,100,"296,93","296,93",2025-11-01 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,2275,BASE INJ ARAN BR LINHA ARIZONA,CT,120,"230,17","276,204",2025-09-16 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,2275,BASE INJ ARAN BR LINHA ARIZONA,CT,120,"230,17","276,204",2025-10-30 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,2275,BASE INJ ARAN BR LINHA ARIZONA,CT,120,"230,17","276,204",2025-12-01 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
409990,9614,CHAPEU INJ MARROM 8340/8341 LIN. VIRGINI,CT,240,"198,73","476,952",2025-10-27 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410572,11021,ARANDELA G9  INJ PRETO REF:81140,CT,150,844,1266,2025-09-08 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410572,11022,ARANDELA G9  INJ BRANCO REF:81140,CT,150,844,1266,2025-09-08 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,569,TRAVESSA INJ PR,CT,1000,"32,99","329,9",2025-09-10 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,4583,QUADRO INJ BRANCO 8340/8341 LIN VIRGINIA,CT,200,"209,53","419,06",2025-09-10 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,5549,CHAPEU INJ RED LIN MINESOTA PR,CT,240,"162,99","391,176",2025-09-10 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,9867,FUNDO ARAN 15 CM LINHA DUBLIN MARROM,CT,200,"201,27","402,54",2025-09-10 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,10136,GRADE ARANDELA 15CM HORIZONTAL BRANCA,CT,100,"293,94","293,94",2025-09-10 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,601,FUNDO ARAND 8237 INJ PR,CT,100,"280,37","280,37",2025-10-03 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,601,FUNDO ARAND 8237 INJ PR,CT,100,"280,37","280,37",2025-11-03 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,4583,QUADRO INJ BRANCO 8340/8341 LIN VIRGINIA,CT,100,"209,53","209,53",2025-10-03 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,5549,CHAPEU INJ RED LIN MINESOTA PR,CT,480,"162,99","782,352",2025-10-10 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,9867,FUNDO ARAN 15 CM LINHA DUBLIN MARROM,CT,200,"201,27","402,54",2025-10-20 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
410645,569,TRAVESSA INJ PR,CT,2000,"32,99","659,8",2025-10-20 00:00:00.000,CIRNA IND DE PLASTICOS E MOLDES LTDA,92
